ID	Gender	Birth Date	Jobcat	Salary	Job Time	Prev Exp	Minority
1	m	3-Feb-1952	3	"$57,000"	98	144	0
2	m	23-May-1958	1	"$40,200"	98	36	0
3	f	26-Jul-1929	1	"$21,450"	98	381	0
4	f	15-Apr-1947	1	"$21,900"	98	190	0
5	m	9-Feb-1955	1	"$45,000"	98	138	0
6	m	22-Aug-1958	1	"$32,100"	98	67	0
7	m	26-Apr-1956	1	"$36,000"	98	114	0
8	f	6-May-1966	1	"$21,900"	98	0	0
9	f	23-Jan-1946	1	"$27,900"	98	115	0
10	f	13-Feb-1946	1	"$24,000"	98	244	0
11	f	7-Feb-1950	1	"$30,300"	98	143	0
15	m	29-Aug-1962	1	"$27,300"	97	66	0
16	m	17-Nov-1964	1	"$40,800"	97	24	0
17	m	18-Jul-1962	1	"$46,000"	97	48	0
18	m	20-Mar-1956	3	"$103,750"	97	70	0
19	m	19-Aug-1962	1	"$42,300"	97	103	0
20	f	23-Jan-1940	1	"$26,250"	97	48	0
21	f	19-Feb-1963	1	"$38,850"	97	17	0
26	m	8-Nov-1966	1	"$31,050"	96	14	0
27	m	19-Mar-1954	3	"$60,375"	96	96	0
28	m	11-Apr-1963	1	"$32,550"	96	43	0
29	m	28-Jan-1944	3	"$135,000"	96	199	0
30	m	17-Sep-1961	1	"$31,200"	96	54	0
31	m	24-Feb-1964	1	"$36,150"	96	83	0
32	m	28-Jan-1954	3	"$110,625"	96	120	0
33	m	18-Mar-1961	1	"$42,000"	96	68	0
34	m	2-Feb-1949	3	"$92,000"	96	175	0
35	m	22-Aug-1961	3	"$81,250"	96	18	0
36	f	7-Aug-1963	1	"$31,350"	96	52	0
42	m	23-Sep-1960	1	"$35,100"	95	90	0
43	m	18-Jan-1964	1	"$23,250"	95	46	0
44	m	15-Jun-1963	1	"$29,250"	95	50	0
45	m	2-Aug-1938	2	"$30,750"	95	307	0
46	f	18-Nov-1940	1	"$22,350"	95	165	0
47	f	28-Apr-1938	1	"$30,000"	95	228	0
48	m	7-Jun-1947	2	"$30,750"	94	240	0
49	m	16-Sep-1958	1	"$34,800"	94	93	0
50	m	9-Feb-1960	3	"$60,000"	94	59	0
51	m	8-Jul-1962	1	"$35,550"	94	48	0
52	m	12-Nov-1963	1	"$45,150"	94	40	0
53	m	21-Apr-1954	3	"$73,750"	94	56	0
54	m	4-Jun-1931	1	"$25,050"	94	444	0
55	m	25-Jun-1960	1	"$27,000"	94	120	0
56	m	16-Apr-1962	1	"$26,850"	94	5	0
57	m	15-Apr-1963	1	"$33,900"	94	78	0
58	f	14-Nov-1964	1	"$26,400"	94	3	0
62	m	18-Jul-1962	3	"$48,000"	93	22	0
63	m	20-Aug-1961	3	"$55,000"	93	32	0
64	m	28-Sep-1963	3	"$53,125"	93	48	0
65	m	28-Mar-1964	1	"$21,900"	93	41	0
66	m	16-Feb-1962	3	"$78,125"	93	7	0
67	m	28-May-1964	3	"$46,000"	93	35	0
68	m	5-May-1963	3	"$45,250"	93	36	0
69	m	23-Jun-1960	3	"$56,550"	93	34	0
70	m	8-Feb-1962	1	"$41,100"	93	27	0
71	m	26-Aug-1948	3	"$82,500"	93	207	0
72	f	7-Jan-1964	1	"$54,000"	93	11	0
73	f	9-Feb-1968	1	"$26,400"	93	0	0
74	f	28-Apr-1933	1	"$33,900"	93	192	0
75	f	12-Aug-1965	1	"$24,150"	93	0	0
76	f	3-Sep-1967	1	"$29,250"	93	11	0
77	f	9-Sep-1968	1	"$27,600"	93	6	0
78	f	20-Aug-1968	1	"$22,950"	93	10	0
79	f	23-Jan-1962	1	"$34,800"	93	8	0
80	f	25-May-1961	1	"$51,000"	93	22	0
81	f	12-Mar-1968	1	"$24,300"	93	5	0
85	m	9-Apr-1962	1	"$25,950"	92	42	0
